Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
b58a927891b41db6aab873d25e34574a8bfeb746,4dd67761f315fa120778bcce9de01d3b69439346d88ef650224dfd405039ed06074452034a1da9e836afa915cb52de3e5c1deba11473f5db2ab8ef4ef9cb21ae,01/01/2019 01:15:00 AM,01/01/2019 01:15:00 AM,120,0.0,17031081202.0,17031081202.0,8.0,8.0,4.0,0.0,0.0,1.0,5.0,Cash,Star North Management LLC,41.902788048,-87.62614559,POINT (-87.6261455896 41.9027880476),41.902788048,-87.62614559,POINT (-87.6261455896 41.9027880476)
f0e6ef185824288621cff5f796a4936b80c181e6,84dab24222c24f99f6c543a5d02e5b47940df071fef3ed969b243bb4bc35119cdccc67ae24e30009cd6ef2aacb5f63aa168be3e3d85f79c8d7f816274565c831,01/01/2019 01:00:00 PM,01/01/2019 01:15:00 PM,830,3.9,,,14.0,3.0,13.0,0.0,,0.0,13.0,Cash,Flash Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197)
52c5ffc89f4bdf6b830dd82ae737dc7480db9264,9149bad3504bb6966a90f2d42d8a98fdd4d8c27bb2e408c52815def8d5f9fed0965d11d97b2d36ad67fedddba2b1471498895541c904b89677a50bde7a5cbff6,01/01/2019 01:15:00 PM,01/01/2019 01:30:00 PM,840,0.0,,,33.0,8.0,12.5,0.0,0.0,1.0,13.5,Cash,Blue Ribbon Taxi Association Inc.,41.857183858,-87.620334624,POINT (-87.6203346241 41.8571838585),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
3e4087b9c6aa4c8fde67006a015dd25a41467c6c,01480513a7f6f4664d6cc4c41ff3043ae6ecbc8cb17404f45de6db711747adf72cf309207bcde58413778d568f67a548640421aedac9a6f961b6919b6e662e8f,01/01/2019 08:45:00 PM,01/01/2019 08:45:00 PM,300,0.0,17031320100.0,17031081201.0,32.0,8.0,5.75,0.0,0.0,0.0,5.75,Cash,Blue Ribbon Taxi Association Inc.,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134)
2d0bb399485e07bd7fed6aa4a19deb426f24f6f3,100dbc840e5381b47a92bfbdbc3f231bc18b28af8cba22938131f76ff91fcacbd0273a793d6eb66bb4aa97412e14fb4484c5684b105ec8a91e83d5c62214c75f,01/02/2019 08:30:00 AM,01/02/2019 08:30:00 AM,540,1.2,17031081600.0,17031280100.0,8.0,28.0,7.5,0.0,0.0,0.0,7.5,Cash,24 Seven Taxi,41.892072635,-87.628874157,POINT (-87.6288741572 41.8920726347),41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224)
ad7903304762725841857686737361f3b8c743f5,98c82b2bbf51ac8fe5c654e68b84fb569d7edc70070b07c9bfd9c57f2b8beee76c198564da61a2c6c1acd61cbaa91bfa06e256e74c9a141255903bc2e15f5e61,01/02/2019 12:45:00 PM,01/02/2019 01:30:00 PM,2820,34.5,17031980000.0,,76.0,,82.5,0.0,0.0,5.0,87.5,Cash,Taxi Affiliation Services,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),,,
3502f436bf793996954ae723e696f47db7dda74a,30e236be2bd32ce4dea917bd851c2a3da96588fa949007b44dc2ef7e4f907c5d7e555574b46563a51d20dd9897f08f6356270796414ef541d8403776ca25903d,01/03/2019 09:45:00 AM,01/03/2019 09:45:00 AM,0,0.0,,,,,40.0,0.0,0.0,0.0,40.0,Credit Card,Suburban Dispatch LLC,,,,,,
1cc632dd348fcd9ae2b10db17b10723c9cc64c93,053e2981d702d762acc06cc5d3076f16fa3e2ad28270ac815664b1b180d6f294b83d7bdaa63e6a540afa0becb2b55a948b5ff6bc524e7d0a21e3a15d0190b848,01/03/2019 04:30:00 PM,01/03/2019 04:30:00 PM,337,0.99,17031081401.0,17031081800.0,8.0,8.0,5.75,0.0,0.0,1.0,6.75,Cash,Flash Cab,41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595)
725adf698af048129052336a37a4e4c8cf0885a8,8d5ad88021392a3dcebc09c672f243d259caf8930e366080e8d51c160fa644b1643621f5af1595551621f0e30d74c968ebddca60c262d5bf72ae0f06be3e9523,01/03/2019 05:00:00 PM,01/03/2019 05:00:00 PM,28,0.0,17031770700.0,17031770700.0,,,3.25,2.0,0.0,0.0,5.25,Prcard,Flash Cab,41.982775009,-87.8773054,POINT (-87.8773053996 41.9827750091),41.982775009,-87.8773054,POINT (-87.8773053996 41.9827750091)
b5006865b23ba69fe023bb921d09bf678ca5d4ed,46c4778c3a32454511f96752c509c608955e293da45dbf245bf9eba5bef28916b7b61295d27aa8f61e4ad63b264051057ace630bce41b8aff5bc6853585fed15,01/04/2019 09:15:00 AM,01/04/2019 09:30:00 AM,420,1.1,17031281900.0,17031320600.0,28.0,32.0,6.75,4.0,0.0,0.0,10.75,Credit Card,Taxi Affiliation Services,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.870607372,-87.622172937,POINT (-87.6221729369 41.8706073724)
